generated_question,original_prompt,response
Stay in the same language as the topic. Ask questions like a curious real person would.,Where can I seek medical attention?,"You can find general medical help at https://dopomoha.ro/en/sanatate  and psychological help at https://dopomoha.ro/en/psychological-support-for-ukrainian-refugees  If neither of those fit your needs, you can also call a help hotline which is can be found at https://dopomoha.ro/en/call-center "
Topic: Where can I seek medical attention?,Where can I seek medical attention?,"You can find general medical help at https://dopomoha.ro/en/sanatate  and psychological help at https://dopomoha.ro/en/psychological-support-for-ukrainian-refugees  If neither of those fit your needs, you can also call a help hotline which is can be found at https://dopomoha.ro/en/call-center "
,Where can I seek medical attention?,"You can find general medical help at https://dopomoha.ro/en/sanatate  and psychological help at https://dopomoha.ro/en/psychological-support-for-ukrainian-refugees  If neither of those fit your needs, you can also call a help hotline which is can be found at https://dopomoha.ro/en/call-center "
What's the best place to go when I need urgent medical care?,Where can I seek medical attention?,"You can find general medical help at https://dopomoha.ro/en/sanatate  and psychological help at https://dopomoha.ro/en/psychological-support-for-ukrainian-refugees  If neither of those fit your needs, you can also call a help hotline which is can be found at https://dopomoha.ro/en/call-center "
"Is it necessary to visit an emergency room for my symptoms, or can I see my doctor instead?",Where can I seek medical attention?,"You can find general medical help at https://dopomoha.ro/en/sanatate  and psychological help at https://dopomoha.ro/en/psychological-support-for-ukrainian-refugees  If neither of those fit your needs, you can also call a help hotline which is can be found at https://dopomoha.ro/en/call-center "
Stay in the same language as the topic. Ask questions like a curious real person would.,Where can I get help for abortions?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
Topic: Where can I get help for abortions?,Where can I get help for abortions?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
,Where can I get help for abortions?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
What clinics offer abortion services near me?,Where can I get help for abortions?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
Is there a hotline I can call to get more information or make an appointment?,Where can I get help for abortions?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
Stay in the same language as the topic. Ask questions like a curious real person would.,Abortion help,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
Topic: Abortion help,Abortion help,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
,Abortion help,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
What are my options if I'm considering an abortion?,Abortion help,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
How far along do I need to be for an abortion to be safe and effective?,Abortion help,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii 
Stay in the same language as the topic. Ask questions like a curious real person would.,Integration help,Help for integrating into Romania can be found at https://dopomoha.ro/en/integration 
Topic: Integration help,Integration help,Help for integrating into Romania can be found at https://dopomoha.ro/en/integration 
,Integration help,Help for integrating into Romania can be found at https://dopomoha.ro/en/integration 
What's the formula for integrating this function?,Integration help,Help for integrating into Romania can be found at https://dopomoha.ro/en/integration 
Can you give me an example of how to integrate something similar?,Integration help,Help for integrating into Romania can be found at https://dopomoha.ro/en/integration 
Stay in the same language as the topic. Ask questions like a curious real person would.,Where can I get a job as a Ukrainian refugee?,Job Oportunities for Ukrainian refugees can be found at https://dopomoha.ro/en/job-for-refugees-from-ukraine-in-romania 
