Prompt,Response,Subject,Language,Verified Translation,Status
Where can I seek medical attention?,"You can find general medical help at https://dopomoha.ro/en/sanatate  and psychological help at https://dopomoha.ro/en/psychological-support-for-ukrainian-refugees  If neither of those fit your needs, you can also call a help hotline which is can be found at https://dopomoha.ro/en/call-center ",Health,English,Yes,Trained
Where can I get help for abortions?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii ,Reproductive Health,English,Yes,Trained
Abortion help,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii ,Reproductive Health,English,Yes,Trained
Integration help,Help for integrating into Romania can be found at https://dopomoha.ro/en/integration ,Integration,English,Yes,Trained
Where can I get a job as a Ukrainian refugee?,Job Oportunities for Ukrainian refugees can be found at https://dopomoha.ro/en/job-for-refugees-from-ukraine-in-romania ,Employment,English,Yes,Trained
Where can I find my rights?,A list of rights you have can be found at https://cezicelegea.ro/en ,Other,English,Yes,Trained
Where can I apply for temporary protection?,Help with applying for temporary protection and residence permit can be found here: https://dopomoha.ro/en/temporary-protection If you need help with finding accomodations you can use this resource: https://unacoperis.ro/en ,Accomodations,English,Yes,Trained
How can I get my kids into school?,The steps to enroll your child in school and extracurricular activities can be found here: https://dopomoha.ro/en/education ,Education,English,Yes,Trained
How can I recieve an abortion?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii,Reproductive Health,English,Yes,Trained
What should I do if I'm a drug addict?,Support for drug users can be found here: https://dopomoha.ro/en/support-for-drug-users,Drug Use,English,Yes,Trained
What financial assistance is offered to me?,Financial assistance for those with temporary protection can be found here: https://dopomoha.ro/en/the-5020-program Financial support for anyone can be found here: https://dopomoha.ro/en/financial-support-from-unhcr ,Finances,English,Yes,Trained
Are you a person?,I am a chatbot powered by ChatterBot to help navigate the Dopomoha website,Other,English,Yes,Trained
How can I recieve a residence permit?,Help with applying for temporary protection and residence permit can be found here: https://dopomoha.ro/en/temporary-protection If you need help with finding accomodations you can use this resource: https://unacoperis.ro/en ,Accomodations,English,Yes,Trained
Is there a book of common Romanian phrases?,A list of common Romanian phrases can be found here: https://dopomoha.ro/en/phrase-book,Education,English,Yes,Trained
Can I speak with a human?,,,,,Not Ready
Unde pot primi asistență medicală?,"Puteți găsi asistență medicală generală la https://dopomoha.ro/en/sanatate și ajutor psihologic la https://dopomoha.ro/en/psychological-support-for-ukrainian-refugees Dacă niciunul dintre acestea nu corespunde nevoilor dvs., puteți apela și la o linie telefonică de ajutor care se găsește la https://dopomoha.ro/en/call-center",Health,Romanian,No,Not Ready
What transportation services are there?,,,,,Not Ready
I need a job,Job Oportunities for Ukrainian refugees can be found at https://dopomoha.ro/en/job-for-refugees-from-ukraine-in-romania ,Employment,English,Yes,Trained
What legal help do you offer?,Some,,,,Not Ready
Where are you Located?,,,,,Not Ready
Lorem Ipsum?,I am sorry I do not understand what you are trying to say. Can you rephrase yor question?,Other,English,,Not Ready
